"","country","ccias.rich","ccias.poor","ccias.fatal","Between.Inequality.Wide","Between.Redistribution","Between.Migration","Between.Fairness","Moralization","Moral.Outrage","Position.Own.Country","General.Trust.Inst","trust.institution","Horizontal.Trust","zero.sum","meritocracy","social.dominance","eco.system.just","identif.country","identif.world","subjective.ses","Pol.Orientation","Age","Gender","Education","Gender_fac"
"245","ita",5,2,2,5,1,4,3,5,3,5,5,325,2,4,3,1,24,4,4,6,7,59,2,11,2
"246","ita",4,2,1,5,2,5,2,5,4,3,5,35,4,2,4,175,29,4,2,4,2,38,1,18,2
"247","ita",4,2,1,5,4,4,1,4,3,2,4,3,2,4,3,175,3,6,2,6,2,21,1,16,1
"248","uk",5,1,3,3,5,5,3,3,4,4,5,3,1,5,4,175,25,3,4,6,5,20,1,12,1
"249","ita",5,1,1,5,3,5,2,4,4,2,2,5,2,2,4,2,2,4,5,7,1,51,1,14,2
"250","za",4,4,4,5,3,4,2,3,1,3,4,NA,1,3,4,125,11,4,2,7,5,25,2,16,1
"251","za",5,1,2,5,4,2,1,5,3,4,5,3,3,4,3,225,22,7,2,2,1,22,1,12,2
"252","ita",5,2,1,5,5,4,2,4,3,5,4,35,2,3,3,25,26,7,4,6,8,23,2,6,2
"253","za",4,1,1,5,4,5,3,5,2,4,3,4,2,5,3,15,27,7,2,5,9,56,1,18,1
"254","uk",4,4,1,4,4,5,3,5,4,4,4,325,1,4,3,1,32,7,2,6,4,37,2,15,1
"255","ita",5,2,2,4,4,5,2,5,4,5,5,NA,3,4,3,1,17,2,3,6,1,23,2,17,1
"256","ita",4,4,2,5,1,5,2,1,2,3,4,35,1,3,3,125,24,5,3,8,8,43,2,12,1
"257","za",4,3,2,5,1,3,3,4,3,3,4,NA,1,4,1,1,34,2,4,7,1,42,2,14,2
"258","ita",4,2,2,5,5,5,2,4,4,5,4,325,4,4,3,1,23,3,4,3,2,28,1,14,2
"259","za",5,4,3,4,1,4,1,4,4,4,3,NA,3,4,4,125,28,6,1,6,1,21,2,13,1
"260","za",3,2,3,5,4,5,1,5,5,4,4,NA,5,3,3,25,13,4,5,6,3,51,2,13,1
"261","za",5,3,2,5,2,4,3,5,4,2,2,325,4,4,3,125,13,4,4,6,6,20,1,12,2
"262","ita",5,2,1,5,2,5,1,4,3,3,4,3,2,5,3,1,27,5,3,8,5,26,2,12,1
"263","za",4,3,1,4,4,3,1,3,4,4,5,1,3,4,3,275,13,3,5,6,7,26,2,15,1
"264","uk",5,1,1,5,5,4,2,5,5,3,5,225,3,5,4,175,11,7,2,6,4,24,2,16,2
"265","uk",5,3,2,5,5,3,1,4,2,1,1,125,4,4,4,125,26,4,2,7,4,51,2,16,1
"266","ita",5,2,1,4,4,3,3,4,5,4,5,125,4,3,2,125,12,2,4,6,2,21,2,11,2
"267","ita",5,3,2,5,3,5,3,5,4,4,5,45,2,3,1,325,14,5,4,3,3,29,1,14,1
"268","ita",5,3,2,5,3,2,2,4,4,5,5,4,3,5,2,15,28,4,3,7,1,66,2,15,2
"269","ita",5,4,2,4,4,5,3,5,3,4,5,175,3,5,4,15,18,4,2,5,2,39,2,18,2
"270","uk",5,2,2,5,1,3,1,4,5,5,3,1,1,4,3,15,29,5,2,3,4,32,2,13,2
"271","uk",3,5,1,5,1,4,4,5,4,5,4,15,1,2,4,175,23,2,4,6,6,20,3,25,1
"272","za",5,2,3,5,4,5,1,3,3,1,3,3,3,2,4,175,17,7,4,4,6,65,2,17,1
"273","uk",5,2,2,3,3,3,3,3,3,5,5,4,2,5,3,2,27,2,4,4,6,55,1,15,2
"274","za",5,3,3,4,4,5,2,5,2,3,5,NA,3,4,3,1,28,1,3,5,1,38,1,18,1
"275","za",4,2,3,4,3,5,2,5,4,3,4,NA,3,3,3,225,32,6,3,7,6,22,1,20,2
"276","uk",4,1,3,5,4,4,2,4,2,1,4,225,2,1,4,1,19,1,5,5,5,25,1,18,1
"277","uk",5,2,3,4,2,5,3,5,5,1,5,425,2,2,3,375,16,7,6,4,4,34,2,15,1
"278","uk",4,5,1,3,5,4,4,5,5,4,4,25,1,4,3,275,25,5,4,1,9,21,1,15,1
"279","ita",5,2,4,5,3,5,1,5,4,1,4,5,3,2,3,225,28,3,4,7,8,24,2,19,1
"280","ita",3,3,2,5,3,5,1,3,4,3,5,4,2,3,2,125,29,5,6,7,1,33,2,17,1
"281","ita",4,2,3,5,5,3,2,4,3,4,5,45,3,4,4,125,21,6,2,8,8,33,1,15,1
"282","za",4,2,1,5,3,4,2,5,4,4,5,NA,2,2,4,325,28,2,5,6,11,26,2,16,2
"283","za",3,4,2,5,5,5,2,4,3,4,5,375,1,3,3,25,3,4,1,5,3,26,2,13,2
"284","uk",4,1,2,5,1,5,3,1,1,4,5,325,1,4,4,225,26,2,5,4,7,22,2,15,1
"285","ita",2,1,2,5,1,5,1,3,3,4,5,NA,4,4,4,225,2,4,3,5,6,39,2,16,1
"286","ita",3,4,2,5,5,4,1,3,4,1,4,325,3,4,2,25,3,7,3,5,1,28,2,12,1
"287","uk",4,2,3,5,5,4,2,5,4,4,4,425,4,3,3,1,14,5,2,7,1,25,2,22,1
"288","za",4,3,1,5,3,4,5,4,4,3,5,325,4,4,3,1,24,3,2,6,6,41,1,17,2
"289","za",4,1,3,5,1,4,1,5,4,4,5,325,3,2,3,15,22,3,7,6,7,30,1,15,1
"290","za",4,3,1,5,3,5,3,3,4,3,5,325,1,4,4,125,23,6,3,5,6,66,2,16,1
"291","za",5,2,3,5,2,5,1,5,2,5,4,325,4,3,4,175,33,4,3,7,6,42,2,16,1
"292","uk",5,5,2,5,2,4,1,4,4,4,3,1,1,5,3,15,33,4,1,3,1,20,2,24,2
"293","ita",4,5,2,2,5,5,3,2,2,4,2,45,1,5,3,1,25,5,5,7,6,27,2,18,2
"294","ita",4,4,1,3,1,5,1,4,3,1,5,35,1,4,2,175,31,4,2,7,7,36,2,16,2
"295","za",4,3,3,5,3,4,1,5,5,3,5,35,4,4,3,15,24,2,5,7,2,23,2,16,2
"296","za",5,2,2,2,3,4,1,4,4,4,4,225,2,5,3,125,14,4,4,7,3,34,1,21,1
"297","ita",4,3,3,5,5,5,1,5,4,4,1,225,2,3,3,175,1,3,1,7,5,51,1,16,2
"298","uk",5,2,3,5,4,4,1,5,4,4,4,325,1,3,4,275,27,4,4,6,6,29,2,18,2
"299","ita",3,1,1,4,3,4,3,4,4,5,1,325,2,4,4,15,24,4,5,5,6,26,2,15,1
"300","ita",4,2,2,5,4,3,3,4,3,3,4,NA,1,4,3,1,26,3,3,6,4,31,1,15,2
"301","ita",4,1,2,5,1,4,3,4,4,2,5,425,3,5,4,275,26,4,2,6,8,22,2,15,2
"302","ita",5,1,3,5,1,5,2,4,4,2,5,4,1,3,2,225,21,4,3,6,7,41,1,15,2
"303","za",5,2,1,5,3,4,2,3,4,5,4,NA,3,5,3,1,32,6,5,3,8,41,2,17,2
"304","ita",5,4,3,5,3,5,2,5,4,5,4,325,4,4,3,35,23,5,4,4,3,29,1,13,1
"305","za",5,2,4,4,4,4,5,4,3,5,3,4,1,3,3,15,26,7,3,4,9,24,2,15,1
"306","za",4,1,2,4,2,5,1,4,2,5,5,35,2,4,4,1,42,1,2,3,4,37,2,12,1
"307","uk",3,2,1,5,3,4,5,5,4,3,4,3,1,4,4,15,31,2,4,7,3,21,2,13,2
"308","uk",4,2,1,5,4,3,3,3,5,5,5,375,1,4,3,1,24,6,4,4,4,45,1,17,2
"309","ita",5,1,3,4,3,4,3,5,3,5,5,275,1,3,4,15,24,2,7,6,2,45,1,17,2
"310","uk",4,2,3,5,4,3,2,3,2,4,5,225,2,5,4,2,19,2,7,4,1,37,2,16,1
"311","uk",4,3,4,4,5,3,1,4,3,2,5,15,2,3,3,15,22,5,3,2,6,33,3,18,1
"312","za",5,3,3,4,5,5,2,5,4,4,4,275,3,4,4,15,15,5,5,7,6,30,1,16,1
"313","ita",4,3,1,5,2,4,2,4,4,3,4,275,3,3,4,15,26,3,2,7,5,26,1,16,1
"314","ita",4,2,3,3,4,4,2,4,4,5,4,25,3,2,3,25,11,2,3,5,6,53,2,16,2
"315","uk",5,3,1,5,4,4,3,5,4,4,4,25,2,3,4,15,3,4,2,5,6,22,2,16,1
"316","za",4,1,3,5,5,3,2,2,2,4,4,NA,1,3,4,2,27,5,2,4,4,24,1,18,2
"317","uk",5,1,2,5,4,5,1,5,5,3,4,1,3,3,3,2,3,3,4,6,4,33,1,19,1
"318","ita",5,2,2,5,4,4,1,5,3,4,4,275,3,4,2,1,2,1,3,7,6,39,2,10,1
"319","za",4,3,1,5,3,5,2,5,5,2,3,1,3,2,3,1,35,3,2,3,1,24,1,15,2
"320","za",4,3,2,2,5,3,3,5,5,3,1,375,2,3,4,1,3,7,3,4,3,23,1,15,2
"321","ita",4,3,1,5,4,2,2,3,3,5,4,5,4,4,1,125,21,7,2,7,1,40,1,17,2
"322","ita",5,1,3,5,5,4,3,4,1,4,5,225,4,3,2,1,19,5,6,4,6,20,1,21,2
"323","uk",5,1,3,5,3,4,2,3,5,2,3,NA,3,3,2,125,23,6,2,6,6,28,2,15,1
"324","za",4,3,2,4,4,1,2,4,3,3,4,NA,2,4,4,1,25,4,3,6,6,27,1,20,1
"325","uk",4,2,2,2,5,4,1,4,4,2,5,25,3,4,2,1,25,5,2,5,9,23,2,18,2
"326","za",5,3,1,5,2,3,1,3,2,2,5,225,1,5,2,175,21,3,5,5,6,21,2,16,2
"327","za",4,2,3,5,2,4,1,3,3,3,5,275,2,3,4,1,25,3,7,7,2,32,2,18,1
"328","za",5,2,3,2,1,5,1,3,4,5,1,325,3,4,3,175,15,5,7,2,8,24,1,16,2
"329","uk",5,3,3,5,4,5,3,4,4,5,4,375,2,3,4,25,22,5,1,7,3,23,1,18,2
"330","ita",5,1,3,5,2,3,1,5,3,5,4,2,2,5,2,2,3,2,1,9,6,20,1,14,1
"331","za",5,4,2,3,3,4,3,4,4,4,3,325,3,2,4,1,27,6,3,2,4,37,1,13,2
"332","uk",4,3,2,5,2,4,1,5,3,3,5,3,1,3,3,35,3,1,4,3,7,30,1,6,1
"333","za",5,3,2,2,2,3,1,3,5,3,4,35,1,4,3,1,34,3,4,5,6,46,2,17,1
"334","ita",3,4,2,4,1,3,2,4,5,5,4,325,2,4,3,15,17,1,6,7,8,39,1,18,2
"335","za",5,1,2,4,3,5,3,4,4,4,5,425,3,4,2,1,29,7,2,7,4,33,2,17,1
"336","za",4,2,4,5,1,4,1,5,3,4,4,325,3,4,3,35,28,5,5,7,6,33,1,13,1
"337","uk",4,3,2,5,2,5,2,4,4,4,3,425,4,1,4,125,14,4,4,5,6,26,1,16,1
"338","za",5,2,2,5,3,5,1,5,4,3,5,35,3,4,3,1,17,5,4,4,8,30,2,10,2
"339","ita",4,2,3,4,4,4,2,3,2,3,2,45,4,3,2,2,15,4,5,6,9,30,2,18,1
"340","uk",5,2,1,5,1,5,1,5,4,5,4,325,1,4,2,1,28,3,2,3,1,27,1,15,2
"341","uk",5,1,3,5,1,5,1,3,4,1,5,NA,3,5,3,125,3,7,3,9,9,32,1,15,1
"342","uk",5,1,3,5,2,4,1,3,4,2,5,15,4,3,3,1,25,4,2,5,3,32,2,13,1
"343","za",4,2,1,5,2,3,2,5,3,4,4,3,4,5,2,225,18,5,3,2,2,37,2,21,1
"344","ita",5,1,1,4,5,5,2,3,4,1,3,5,3,4,4,1,21,7,2,7,3,25,1,18,2
"345","za",5,1,1,5,4,5,2,3,5,4,5,275,3,3,2,275,2,1,3,7,4,32,2,17,2
"346","ita",4,2,2,5,2,3,2,5,5,3,4,375,1,5,3,15,32,4,3,5,4,27,2,15,2
"347","ita",3,2,3,5,4,4,1,3,3,4,5,375,4,3,4,1,15,6,7,6,7,27,1,24,2
"348","ita",5,2,4,5,4,5,2,3,4,3,2,375,2,4,4,35,36,4,5,6,2,37,1,18,2
"349","za",4,4,3,5,4,4,1,5,3,4,4,2,2,3,3,1,28,3,2,6,3,33,1,12,2
"350","ita",4,3,3,5,5,4,2,3,5,4,5,425,2,2,3,2,2,3,5,2,1,65,1,16,1
"351","za",3,3,4,5,5,4,3,3,4,5,4,4,3,5,4,3,24,2,3,7,7,22,2,19,1
"352","ita",5,1,1,5,3,4,3,5,1,3,2,NA,2,4,4,275,24,7,2,4,1,32,1,16,1
"353","ita",4,3,3,4,4,4,3,3,4,3,5,1,3,5,4,175,24,4,2,6,1,30,1,16,1
"354","ita",5,1,2,5,3,4,3,4,4,3,5,3,3,4,4,25,32,5,3,5,8,29,1,13,2
"355","uk",5,2,1,5,5,5,2,3,4,3,4,NA,3,3,3,1,18,4,5,7,7,21,1,15,1
"356","za",2,3,2,3,4,5,2,4,1,4,3,35,2,3,3,25,26,7,2,6,4,20,2,18,1
"357","za",5,2,2,3,3,3,1,5,3,2,3,375,4,4,2,1,17,4,1,5,6,23,2,15,1
"358","ita",5,2,3,5,4,4,3,5,4,3,5,45,1,4,3,15,25,3,4,4,6,23,2,15,2
"359","ita",3,2,1,4,5,5,3,5,4,5,4,3,2,4,3,1,37,1,3,5,4,24,1,18,2
"360","ita",4,2,1,5,5,4,1,3,5,2,3,3,2,3,2,125,23,3,1,2,6,26,2,16,2
"361","ita",4,1,3,5,3,4,1,5,4,3,2,NA,2,3,3,1,21,6,2,9,6,50,2,13,2
"362","uk",5,1,3,5,1,5,2,4,1,3,3,375,1,3,4,25,21,5,4,5,6,30,2,21,2
"363","uk",4,2,1,5,4,5,1,5,3,5,4,175,2,5,4,1,26,4,3,7,3,26,2,18,1
"364","uk",5,3,1,5,2,5,2,5,2,3,4,35,3,3,5,225,3,4,4,7,4,31,1,14,2
"365","uk",5,2,2,4,2,5,1,4,3,5,4,2,1,4,4,125,28,6,3,6,4,73,1,13,1
"366","ita",3,1,1,5,2,2,1,5,4,5,5,NA,1,5,4,1,18,3,3,6,6,27,2,12,1
"367","uk",5,2,2,5,4,5,1,4,4,4,3,2,5,5,3,225,14,3,2,6,4,38,2,16,2
"368","uk",4,4,3,5,3,3,1,5,5,4,5,35,3,4,4,1,12,1,2,5,2,31,1,18,1
"369","za",5,2,2,4,3,3,3,3,3,3,1,275,1,3,3,2,21,7,6,7,2,30,2,16,1
"370","uk",4,3,3,5,5,3,3,3,4,5,5,5,3,5,5,125,25,5,3,5,7,56,2,17,1
"371","za",5,1,2,5,5,4,3,4,5,4,3,325,3,5,4,15,21,2,2,2,3,42,2,14,2
"372","uk",4,1,2,5,5,5,3,4,2,5,1,325,2,1,4,15,32,4,7,7,6,23,1,17,2
"373","ita",4,3,3,4,4,4,2,3,4,2,5,35,3,1,5,2,16,3,5,6,11,33,2,26,2
"374","uk",4,1,3,5,4,4,3,4,4,5,3,225,4,2,2,375,15,1,2,6,6,22,1,20,2
"375","uk",5,2,2,5,2,4,2,5,3,5,4,35,4,4,2,3,13,3,4,6,1,30,1,20,2
"376","uk",4,4,1,5,5,5,1,4,3,1,4,325,4,5,3,1,14,3,7,3,6,28,1,19,1
"377","uk",4,2,2,5,5,4,1,5,3,1,4,NA,1,3,4,1,19,4,1,8,6,54,1,18,1
"378","za",5,3,1,5,3,5,1,4,4,5,5,375,3,5,3,275,16,6,4,6,5,22,2,15,2
"379","za",5,3,2,5,3,4,2,4,1,3,3,NA,3,4,3,1,35,4,1,8,6,36,1,15,2
"380","uk",5,2,2,5,2,5,5,4,4,3,1,425,2,5,4,1,22,4,4,7,3,26,2,20,1
"381","za",3,1,4,5,3,3,1,3,5,3,3,NA,4,3,2,1,2,4,4,4,4,25,2,13,2
"382","uk",5,3,2,5,4,5,2,4,3,3,5,325,2,3,4,35,21,5,1,7,2,65,2,13,1
"383","za",5,2,1,1,5,4,1,3,4,4,5,3,1,3,3,1,24,4,6,4,9,21,1,13,1
"384","uk",4,3,2,4,2,4,2,5,3,4,5,325,2,5,2,1,23,4,5,6,1,63,2,11,1
"385","ita",3,1,2,5,4,2,2,4,2,4,5,4,3,5,3,1,18,2,3,5,5,26,2,16,1
"386","uk",5,1,1,4,4,4,2,3,3,3,5,3,3,4,3,125,29,3,2,5,2,34,2,17,2
"387","ita",4,2,3,5,3,4,3,4,3,1,4,NA,3,4,1,15,25,3,2,2,5,51,2,18,2
"388","uk",4,4,1,5,4,4,1,5,3,5,4,25,3,4,3,15,14,2,7,3,1,21,2,17,2
"389","za",5,3,2,5,1,4,1,5,5,4,5,4,2,2,5,175,26,4,2,8,9,22,1,15,1
"390","uk",5,3,1,5,5,5,2,3,3,2,4,2,4,2,4,125,28,7,7,8,6,29,1,10,2
"391","za",4,2,2,5,3,5,2,5,1,4,3,3,3,3,3,15,19,7,3,6,3,55,1,15,2
"392","za",4,2,2,5,2,5,3,5,2,3,4,NA,4,2,3,15,21,6,4,6,4,40,1,11,1
"393","uk",4,3,1,3,4,5,3,3,5,2,5,275,2,5,3,125,21,2,5,8,7,52,2,16,2
"394","uk",4,3,3,4,4,5,4,5,3,4,5,325,3,4,3,1,24,5,5,7,8,31,2,14,2
"395","ita",3,2,2,4,3,4,1,2,5,5,3,NA,4,4,4,1,3,7,5,5,10,26,2,14,2
"396","uk",5,1,2,4,1,5,3,4,3,5,4,1,1,2,4,275,2,3,5,4,6,28,1,14,2
"397","za",5,5,1,5,4,4,4,2,4,2,5,325,2,4,1,175,3,6,6,6,7,30,2,12,1
"398","uk",4,2,1,4,2,4,1,3,3,5,5,45,2,4,3,1,3,6,6,7,6,34,2,18,2
"399","uk",5,2,1,5,2,5,1,5,4,1,5,3,2,5,3,175,26,5,3,6,4,34,1,15,1
"400","za",5,2,1,4,1,3,2,5,3,5,5,325,1,3,4,35,24,7,4,3,3,26,2,17,2
"401","ita",4,1,2,3,5,5,1,5,4,4,5,45,2,5,3,125,19,2,5,6,5,28,1,6,1
"402","uk",5,3,2,5,5,4,1,3,4,5,4,25,3,5,2,2,3,3,1,5,3,24,2,18,2
"403","ita",4,3,2,5,3,4,1,4,4,5,4,4,1,2,4,15,19,7,1,7,3,42,2,13,2
"404","uk",4,2,1,4,4,5,3,5,3,1,3,3,3,5,4,15,24,3,6,7,3,33,3,14,1
"405","uk",3,2,3,5,4,4,1,5,4,4,4,3,2,1,3,25,17,3,2,3,3,24,1,11,1
"406","uk",5,4,1,3,3,3,3,5,3,3,5,NA,3,5,3,1,24,6,5,6,9,22,1,16,1
"407","uk",4,2,4,4,4,5,2,5,4,5,4,NA,1,4,5,225,19,5,1,7,4,29,2,22,1
"408","uk",5,2,2,5,5,5,2,4,2,5,5,125,4,4,1,2,26,2,5,5,8,24,2,14,1
"409","za",5,3,2,4,3,5,1,2,3,5,4,NA,3,4,3,1,23,2,2,3,3,31,2,16,1
"410","za",4,3,1,5,3,5,1,3,4,5,3,15,1,4,4,275,2,2,2,6,5,21,2,22,2
"411","uk",4,1,2,5,3,4,3,3,4,3,4,375,1,4,4,1,15,5,2,5,4,31,2,14,2
"412","ita",5,4,2,4,5,5,1,5,3,3,3,375,1,4,2,225,24,2,1,4,4,36,2,19,2
"413","uk",5,3,2,5,3,5,1,3,4,5,3,35,1,4,3,125,23,1,4,6,3,26,1,17,1
"414","za",5,3,3,5,4,4,1,2,4,5,5,325,1,4,3,175,28,5,1,5,6,25,2,17,2
"415","ita",4,2,3,5,4,4,3,4,5,4,5,NA,3,3,4,125,24,4,2,3,3,20,1,18,1
"416","uk",5,3,2,5,4,4,3,5,3,5,5,45,1,5,3,1,28,3,2,8,3,33,1,18,1
"417","uk",4,3,3,4,5,4,1,5,4,5,4,NA,1,3,4,1,3,5,5,5,3,22,2,14,2
"418","za",4,2,1,5,3,5,2,4,4,3,3,275,3,4,3,1,29,2,3,9,4,23,1,14,2
"419","za",3,1,3,5,3,4,2,4,4,4,5,275,3,4,3,275,19,3,2,2,4,41,2,17,1
"420","za",4,3,3,4,4,3,3,3,3,5,5,275,3,5,4,375,2,4,3,6,1,41,1,16,1
"421","uk",3,2,1,5,3,4,2,5,4,3,4,NA,2,5,3,225,2,5,6,2,8,63,2,19,2
"422","za",5,2,1,5,3,4,2,4,2,5,5,NA,3,3,3,15,3,5,2,3,2,22,1,18,2
"423","uk",4,4,2,5,5,2,2,5,3,3,5,325,5,4,3,1,24,4,5,6,6,30,1,12,2
"424","uk",5,1,3,5,4,5,5,4,4,5,3,3,3,4,3,175,15,4,7,6,3,23,1,15,1
"425","uk",4,3,1,5,2,5,3,3,3,1,4,1,1,4,2,1,21,3,2,6,7,38,2,19,2
"426","uk",4,3,2,5,2,3,1,4,2,2,4,35,2,4,4,325,32,3,4,7,5,30,1,18,2
"427","za",4,3,2,5,4,4,1,3,1,3,4,425,1,4,4,175,13,2,4,7,3,37,1,12,1
"428","za",5,2,1,5,4,5,2,4,4,3,3,1,1,5,4,15,31,3,5,7,3,26,1,25,2
"429","ita",4,2,2,5,4,2,2,4,4,3,4,225,3,5,3,225,14,1,4,6,6,40,1,15,2
"430","za",5,3,3,5,5,5,3,4,5,3,3,4,4,3,3,1,17,6,2,5,6,23,2,17,1
"431","ita",4,2,3,5,2,3,1,4,3,3,5,NA,1,3,4,1,28,6,5,7,7,20,1,18,1
"432","ita",4,4,2,4,5,5,2,5,5,5,5,NA,2,4,3,225,18,2,1,5,2,30,1,12,1
"433","ita",5,2,2,5,2,2,2,4,4,4,3,325,3,5,4,2,11,3,7,5,5,37,2,14,1
"434","ita",5,1,1,5,4,3,2,5,4,4,5,475,3,4,4,125,26,2,5,7,1,35,2,14,1
"435","uk",5,1,2,5,4,4,2,4,4,1,5,1,3,2,3,325,24,2,7,8,5,22,2,19,2
"436","za",4,1,2,4,4,3,3,3,4,2,4,45,2,5,3,35,24,4,5,5,3,28,2,18,2
"437","ita",3,1,1,4,5,3,1,4,4,5,4,NA,2,4,4,15,27,6,2,3,7,27,2,14,2
"438","uk",5,2,3,5,4,5,2,5,4,5,4,NA,3,4,4,1,36,4,5,6,8,37,2,14,2
"439","uk",5,1,3,5,4,3,1,5,4,4,4,325,2,4,3,2,17,3,4,7,4,32,1,18,1
"440","uk",4,1,4,4,4,4,3,4,3,1,3,1,4,4,4,225,11,3,2,5,1,24,1,16,2
"441","za",5,1,1,4,5,4,1,3,4,5,5,375,1,3,3,275,28,4,3,6,4,21,2,20,1
"442","za",2,2,1,5,4,5,2,5,3,5,4,2,1,3,3,225,22,4,4,5,4,33,1,17,1
"443","ita",5,3,1,5,5,2,1,3,5,5,4,35,1,5,3,125,28,5,2,7,9,38,1,17,1
"444","za",3,2,2,4,3,5,1,4,3,3,4,25,4,3,4,1,21,4,3,6,8,22,2,13,2
"445","za",5,2,1,4,3,4,2,4,4,5,4,225,4,4,3,125,2,5,1,4,8,40,2,12,2
"446","uk",5,2,1,5,1,3,4,5,4,5,5,4,1,5,3,15,17,5,7,3,1,31,2,15,1
"447","za",4,3,2,5,4,5,1,4,5,1,2,25,1,3,3,275,18,6,4,6,6,31,1,12,1
"448","za",5,3,3,5,2,5,2,3,5,2,5,275,1,3,5,1,12,2,5,7,4,23,2,18,2
"449","za",4,2,2,5,5,4,3,5,4,4,5,35,2,2,3,1,19,5,3,3,4,38,2,15,1
"450","ita",4,2,1,4,1,3,3,4,5,3,1,NA,2,5,3,175,3,2,5,1,4,31,1,13,1
"451","uk",4,1,2,5,5,4,2,4,3,3,5,5,4,4,3,1,2,3,2,6,6,53,1,18,1
"452","za",5,2,3,5,4,5,2,5,5,5,5,4,2,2,1,175,18,3,1,5,6,42,2,18,2
"453","uk",2,3,3,5,4,5,4,5,5,5,5,3,5,5,4,125,27,5,5,7,6,22,1,18,1
"454","ita",4,1,3,3,4,5,3,5,4,4,4,325,4,3,4,2,1,3,1,6,9,24,3,26,1
"455","za",4,3,3,5,4,4,2,3,3,3,4,275,4,5,4,125,25,5,2,6,3,33,2,24,1
"456","ita",5,4,1,4,4,3,5,5,1,3,4,25,2,5,3,225,24,3,1,3,2,24,2,17,2
"457","za",5,1,4,5,1,5,3,3,1,3,5,175,2,2,3,125,16,4,7,6,4,25,2,12,1
"458","za",5,2,2,5,4,5,2,4,3,4,4,375,1,3,3,1,19,4,4,3,1,55,1,16,2
"459","uk",4,2,1,5,5,5,2,4,1,3,4,325,3,3,5,375,28,2,4,4,4,34,2,18,1
"460","ita",5,1,3,4,2,4,5,4,4,5,4,325,1,5,3,15,15,5,4,3,6,25,2,14,1
"461","ita",4,3,1,5,2,4,3,4,5,5,5,375,1,5,1,225,24,1,1,7,4,21,2,21,2
"462","za",5,1,2,3,3,4,1,4,3,3,5,NA,4,3,2,3,23,5,4,4,4,29,2,18,1
"463","ita",5,2,1,5,1,5,2,5,4,3,5,NA,2,5,2,175,22,3,2,5,3,52,1,26,1
"464","za",5,2,3,5,4,5,2,4,3,5,5,1,4,5,3,1,12,5,1,5,2,24,2,13,1
"465","za",5,3,1,5,4,5,4,2,4,5,4,425,3,2,2,15,25,5,4,4,10,29,2,19,2
"466","ita",4,3,2,4,2,4,2,3,2,3,5,375,1,4,4,1,33,4,5,5,1,20,2,18,2
"467","uk",4,4,3,5,4,5,2,5,3,4,5,1,2,4,4,15,24,4,1,5,9,35,1,15,2
"468","ita",4,4,4,5,3,5,2,5,3,5,4,1,3,4,4,125,17,6,3,4,8,41,1,17,1
"469","za",5,3,4,5,3,4,1,4,2,3,3,NA,3,4,2,15,24,7,6,6,3,20,1,12,1
"470","uk",4,3,1,4,2,5,4,4,3,5,4,3,3,3,3,25,19,4,2,4,1,24,1,17,1
"471","uk",5,3,1,5,4,1,2,4,3,4,3,4,1,2,3,1,2,6,4,7,4,22,2,12,1
"472","za",5,1,2,4,5,5,3,4,4,5,5,NA,2,2,3,125,31,3,5,7,11,27,2,17,2
"473","ita",3,2,3,5,3,5,1,4,4,5,5,1,2,3,3,275,37,3,2,5,9,25,2,22,2
"474","uk",4,3,2,5,3,4,1,5,4,2,5,325,3,2,5,1,28,6,3,7,4,40,2,18,1
"475","ita",4,4,2,5,5,3,3,4,3,3,4,475,3,1,4,225,27,7,5,3,3,23,2,18,1
"476","za",4,1,3,4,4,4,1,4,3,3,4,425,3,5,4,275,19,4,4,7,6,20,2,12,2
"477","za",5,1,2,5,4,2,3,5,3,5,5,375,3,5,3,175,3,5,2,4,6,23,2,20,2
"478","ita",5,2,2,5,2,4,2,4,5,3,5,175,1,4,4,225,14,2,5,3,8,27,2,11,1
"479","uk",5,3,3,5,3,4,1,4,3,2,4,325,4,3,2,225,21,4,6,8,6,29,2,12,2
"480","uk",5,2,1,4,5,5,1,5,4,2,5,NA,1,4,1,125,17,7,2,4,4,20,2,3,1
"481","uk",5,2,1,3,5,4,1,3,4,2,5,NA,2,4,4,15,16,6,5,7,8,22,2,15,1
"482","uk",4,3,2,4,4,5,2,4,3,4,4,3,4,4,4,125,27,2,1,5,8,46,1,18,2
"483","uk",5,3,3,5,5,4,1,4,4,2,4,1,2,4,4,2,12,4,2,5,1,26,2,17,1
"484","uk",3,2,2,4,5,5,1,4,4,3,4,4,3,5,4,325,18,3,1,5,8,45,2,22,1
"485","uk",3,3,1,5,5,3,2,4,5,5,4,325,4,5,3,1,26,4,4,4,6,27,1,16,2
"486","za",5,4,2,5,2,4,2,5,3,3,4,125,3,3,3,2,16,3,3,3,6,20,2,18,2
"487","uk",5,2,3,5,5,5,1,4,3,4,4,3,2,3,4,15,28,7,2,7,3,44,1,15,1
"488","uk",4,4,3,5,4,5,1,5,4,3,5,3,3,4,2,1,18,5,4,5,3,34,2,13,2
"489","ita",5,2,1,5,2,4,1,4,5,3,4,175,1,4,4,15,23,5,2,7,4,34,1,11,2
"490","uk",5,3,2,4,4,5,2,1,4,4,5,3,1,3,1,15,27,1,5,5,5,22,2,12,2
"491","za",3,1,1,5,4,4,2,5,4,3,5,375,2,5,4,15,13,3,1,7,6,22,1,18,2
