"","ID","BSMBS_1u","BSMBS_2u","BSMBS_3u","BSMBS_4u","BSMBS_5u","BSMBS_6u","BSMBS_7u","BSMBS_8u","BSMBS_9u","BSMBS_10u","BSMBS_11d","BSMBS_12d","BSMBS_13d","BSMBS_14d","BSMBS_15d","BSMBS_16d","BSMBS_17d","BSMBS_18d","BSMBS_19d","BSMBS_20d","SMBS_1","SMBS_2","SMBS_3","SMBS_4","SMBS_5","SMBS_6","SMBS_7","SMBS_8","SEIS_1","SEIS_2","SEIS_3","SEIS_4","SEIS_5","AC_1","Gender","Age","Nacionality","Marital_Status","Education","Occupation","Household_Income","Household_members_1","SSS","PoliticalOrientation"
"142",123,6,7,5,5,5,5,7,2,6,4,2,2,2,2,2,3,2,2,2,4,2,5,2,3,2,6,2,3,2,6,7,1,6,5,1,48,1,2,7,5,2e+05,2,8,3
"143",127,5,6,3,5,5,5,6,4,6,6,2,2,5,3,2,2,7,1,2,3,4,1,4,4,2,3,5,5,1,7,7,1,7,5,2,32,1,2,7,5,2500,2,6,2
"144",114,3,5,4,4,4,3,6,4,5,5,5,1,3,3,3,3,2,3,2,3,3,3,3,5,3,5,3,3,3,5,5,2,5,5,2,59,1,3,7,NA,120000,4,9,4
"145",104,5,5,5,4,4,3,6,3,5,5,4,2,3,2,3,3,1,3,5,3,3,3,3,2,5,5,3,6,1,1,1,1,7,5,1,36,1,2,6,5,2100,2,6,3
"146",3,7,7,7,4,4,1,7,4,7,7,1,1,1,1,7,4,1,1,1,4,1,7,1,4,7,7,1,1,1,5,5,1,5,5,2,58,1,3,4,1,NA,3,7,5
"147",75,2,4,1,1,1,1,5,1,2,1,3,1,2,3,3,3,2,2,3,3,6,1,5,1,1,2,6,6,2,5,5,1,5,5,2,34,1,1,7,5,2100,1,5,2
"148",84,1,3,2,2,4,2,6,1,2,2,6,6,4,6,5,5,2,6,6,6,5,1,1,1,2,4,5,5,1,7,7,1,7,5,1,38,1,2,4,1,680,2,5,1
"149",6,5,3,5,5,5,5,5,6,5,4,3,5,2,2,3,3,4,3,4,4,3,6,2,6,5,5,3,4,2,6,3,1,7,5,2,59,1,3,7,5,40000,2,7,4
"150",116,3,4,2,4,3,2,4,3,4,3,3,3,5,3,5,4,2,3,4,4,2,4,5,3,5,4,2,2,1,1,6,1,7,5,1,50,1,3,7,5,3000,4,6,2
"151",56,3,5,4,4,3,4,4,4,4,3,6,6,5,4,5,6,3,4,5,6,4,5,4,4,6,3,4,3,4,3,5,5,4,4,1,25,1,2,5,1,3000,4,5,4
"152",168,3,3,2,1,2,2,4,2,3,3,4,4,4,3,3,4,3,3,3,3,5,2,3,2,2,2,5,5,2,7,6,1,7,5,1,49,1,3,7,5,3000,3,6,2
"153",102,2,2,3,4,1,1,3,4,3,3,5,6,3,5,7,4,2,4,4,7,3,2,1,1,4,4,4,4,1,7,7,1,7,5,2,45,1,3,6,5,2500,2,6,2
"154",118,3,4,4,4,3,2,6,2,3,4,3,2,2,3,2,2,2,2,2,3,3,1,3,3,1,2,3,3,1,7,7,1,7,5,2,26,1,2,7,1,1500,3,6,2
"155",129,3,1,2,2,2,2,2,2,2,2,3,6,4,5,7,6,3,4,6,6,4,1,1,4,2,2,4,4,1,7,7,1,7,5,2,39,1,1,7,5,1600,2,5,1
"156",19,7,7,7,4,4,1,7,7,7,4,1,7,1,4,7,1,1,7,7,7,1,7,7,7,4,4,1,7,1,7,7,1,7,5,2,61,1,3,5,5,3000,4,7,4
"157",71,3,3,3,4,3,2,3,3,2,2,4,4,4,3,4,4,2,4,4,3,5,2,5,2,2,2,6,6,2,5,7,2,6,5,1,25,1,1,6,2,20000,3,3,2
"158",43,4,4,4,4,5,4,6,4,4,5,3,3,3,3,4,4,2,3,3,3,3,1,3,4,1,3,5,3,2,6,5,2,6,5,2,18,1,1,4,2,10000,4,7,2
"159",52,4,4,5,5,4,2,6,2,4,4,3,4,3,4,3,4,3,3,4,4,4,4,5,2,1,3,2,6,1,7,7,1,7,5,1,36,1,3,6,5,5500,3,8,2
"160",155,1,4,3,6,6,4,7,4,4,1,6,1,1,1,1,1,1,1,1,1,7,2,1,6,3,6,1,7,1,2,4,1,7,5,2,68,1,3,6,6,6000,2,7,5
"161",120,2,3,3,3,4,2,5,1,2,6,6,5,5,5,5,5,2,4,6,4,5,2,4,3,2,4,4,4,1,7,7,1,7,5,1,36,1,2,6,5,1900,2,6,2
"162",3,7,7,7,4,4,1,7,4,7,7,1,1,1,1,7,4,1,1,1,4,1,7,1,4,7,7,1,1,1,5,5,1,5,5,2,58,1,3,4,1,NA,3,7,5
"163",10,5,6,5,6,5,5,6,2,5,5,2,3,2,4,4,3,2,2,4,3,6,2,2,2,2,3,2,3,1,6,6,2,6,5,2,61,1,3,5,1,NA,3,4,NA
"164",12,3,4,4,4,5,4,5,4,4,5,5,4,5,4,3,3,2,3,4,5,3,4,3,5,6,6,3,2,2,2,6,1,7,5,2,74,1,4,6,6,1800,1,6,2
"165",63,2,7,1,3,2,1,1,2,5,2,3,3,1,2,4,2,5,3,4,6,1,1,1,5,7,1,1,1,7,1,1,1,1,5,1,47,1,2,7,5,2600,3,9,4
"166",170,5,5,5,5,5,2,5,5,5,5,2,1,2,2,2,2,2,2,2,3,4,1,2,2,2,5,5,3,1,7,6,1,7,5,1,49,1,3,6,5,90000,5,7,3
"167",120,2,3,3,3,4,2,5,1,2,6,6,5,5,5,5,5,2,4,6,4,5,2,4,3,2,4,4,4,1,7,7,1,7,5,1,36,1,2,6,5,1900,2,6,2
"168",57,1,5,5,2,3,2,7,2,2,3,5,3,3,5,5,5,1,5,3,5,5,1,1,3,2,2,6,6,1,7,7,1,7,5,1,22,1,1,6,2,3500,5,4,1
"169",172,4,5,5,3,5,2,5,2,3,4,4,3,3,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,1,7,7,7,7,5,1,42,1,2,7,5,3500,4,7,2
"170",44,5,5,3,5,5,5,4,5,5,5,2,1,2,3,2,4,2,2,3,2,2,4,2,5,4,4,3,2,2,6,7,1,7,5,1,58,1,2,6,5,3000,2,7,2
"171",142,5,5,4,5,4,4,6,3,5,5,2,4,3,3,4,4,1,3,3,2,2,5,1,6,5,4,2,3,5,3,5,2,6,5,1,43,1,4,6,5,2000,3,7,4
"172",159,6,6,2,2,7,7,7,7,7,6,2,4,2,2,7,2,7,1,4,2,1,7,1,7,7,1,1,1,2,2,7,4,6,5,2,50,1,3,5,5,30000,2,5,5
